dataset,manual_or_metadata_bad_channels,automatic_power_outliers,mean_PSD_after_HFC_dB,HFC_reduction_1_40_dB,line_excess_after_HFC_dB,blinks_per_min,muscle_percent,epochs_retained,epochs_rejected_percent,baseline_RMS_fT,peak_ERF_SNR,beta_rebound_percent,peak_MVPA_AUC
Oxford,6,6,34.59261157683209,1.4439090843340239,6.105705546386027,0.9783022229200509,1.0360743912282966,295,6.050955414012737,406.15572477732667,40.060438427664096,26.113327016193967,0.6977985638699924
Princeton,9,4,31.242108734820416,3.376567494600991,6.2980021859492155,15.03686750043782,0.04629825334807163,250,36.70886075949367,246.1593044080444,13.296957745681464,10.986475113848243,0.982898715041572
